Bangla,English
ইতিহাস,history
অনুসন্ধান,search
শুধু,only
পুলিশ,police
ভাবছিলাম,thought
সাহায্য,help
অনুরোধ,request
ধরন,kind
মাস,month
ভাই,brother
ছেড়ে দিন,let
কারণ,because
রাখা,to put
কোনো,no
বাঁধন,leash
তাদের,them
শহর,city
প্রতিটি,each
কথা বলেছে,speak
এসেছে,come
উচিত,should
শিশু,baby
অনেক দিন,long time
ঘণ্টা,hours
যাবে,will
যখন,while
আবার দেখা,meet again
কোনো,any
স্থান,square
কথা বলে,speak
বোঝা,understood
জানতাম,knew
ছিলেন,were
সতর্কতা,Warning
এখানে আছে,here is
পারতাম,could
কেস,case
দিতে,give
টাইপ,type
তাদের,their
দেওয়া,given
ট্রেন,train
দেহ,body
স্থান,place
চোখ,eyes
পথ,way
শোন,listen
যার,whose
পাওয়া যায়,find
প্রথম,first
হারানো,lost
হাত,hand
প্রথম,first
পাশে,side
ক্ষমতা,power
বৃদ্ধ,old
থাকো,be
এই যে,here
সকাল,morning
অনেক,so much
শিশু,child
বিন্দু,point
এসেছিল,came
পরে,after
দুঃখিত,sorry
এসো,come
সামনে,in front of
দিকে,towards
মিনিট,minutes
অনুরোধ করা হয়েছিল,request
শোবার ঘর,bedroom
রাখা হয়েছিল,placed
সুন্দর,beautiful
আইন,law
চাইতাম,would like to
আজ,today
স্বামী,husband
কারণ,cause
অবশেষে,finally
আশা করি,hope
জল,water
অপেক্ষা করুন,Wait
বামে,left
নতুন,new
চাকরি,job
থামাও,Stop
বলবে,would say
পৃথিবী,Earth
